Google Ads Report may to August 2026
"May 1, 2026 - August 10, 2026"
Day,Campaign,Conversions,Currency code,Cost,Conv. value
2026-07-30,Pesado58.5 - Smart Shopping - All Catalog - 2026,2.45,AUD,303.36,236.70
2026-07-30,Pesado 58.5 - Non Brand Search Categories - 2026,3.53,AUD,173.73,361.56
2026-07-31,Search - Brand - Pesado 58.5 - 2026,22.00,AUD,268.70,"2,662.92"
2026-07-31,Pesado58.5 - Smart Shopping - All Catalog - 2026,0.00,AUD,199.64,0.00
2026-07-31,Pesado 58.5 - Non Brand Search Categories - 2026,4.00,AUD,279.78,420.12
2026-08-01,Search - Brand - Pesado 58.5 - 2026,21.00,AUD,344.22,"2,594.38"
2026-08-01,Pesado 58.5 - Non Brand Search Categories - 2026,5.00,AUD,302.38,584.22
2026-08-02,Search - Brand - Pesado 58.5 - 2026,36.00,AUD,379.16,"3,753.06"
2026-08-02,Pesado 58.5 - Non Brand Search Categories - 2026,6.00,AUD,327.20,649.74
2026-08-02,Pesado 58.5 - Standar Shopping - AU,0.00,AUD,0.00,0.00
2026-08-03,Search - Brand - Pesado 58.5 - 2026,30.00,AUD,403.96,"3,251.79"
2026-08-03,Pesado 58.5 - Non Brand Search Categories - 2026,5.00,AUD,380.56,563.32
2026-08-03,Pesado 58.5 - Standar Shopping - AU,0.00,AUD,115.28,0.00
2026-08-04,Search - Brand - Pesado 58.5 - 2026,23.96,AUD,390.12,"3,410.02"
2026-08-04,Pesado 58.5 - Non Brand Search Categories - 2026,4.00,AUD,335.52,531.11
2026-08-04,Pesado 58.5 - Standar Shopping - AU,1.00,AUD,119.58,120.92
2026-08-05,Search - Brand - Pesado 58.5 - 2026,23.00,AUD,355.59,"2,318.89"
2026-08-05,Pesado 58.5 - Non Brand Search Categories - 2026,4.00,AUD,323.52,635.74
2026-08-05,Pesado 58.5 - Standar Shopping - AU,2.00,AUD,107.69,195.00
2026-08-06,Search - Brand - Pesado 58.5 - 2026,8.00,AUD,159.12,934.98
2026-08-06,Pesado 58.5 - Non Brand Search Categories - 2026,8.00,AUD,389.45,"1,000.33"
2026-08-06,Pesado 58.5 - Standar Shopping - AU,3.00,AUD,178.62,318.50
2026-08-07,Search - Brand - Pesado 58.5 - 2026,20.00,AUD,51.56,"3,021.14"
2026-08-07,Pesado 58.5 - Non Brand Search Categories - 2026,1.00,AUD,134.48,107.00
2026-08-07,Pesado 58.5 - Standar Shopping - AU,2.00,AUD,179.19,184.00
2026-08-08,Search - Brand - Pesado 58.5 - 2026,13.00,AUD,57.88,"1,210.56"
2026-08-08,Pesado 58.5 - Non Brand Search Categories - 2026,3.00,AUD,132.36,174.90
2026-08-08,Pesado 58.5 - Standar Shopping - AU,0.00,AUD,178.70,0.00
2026-08-09,Search - Brand - Pesado 58.5 - 2026,20.00,AUD,53.62,"2,200.34"
2026-08-09,Pesado 58.5 - Non Brand Search Categories - 2026,2.00,AUD,259.64,104.50
2026-08-09,Pesado 58.5 - Standar Shopping - AU,1.00,AUD,180.39,77.00
2026-08-10,Search - Brand - Pesado 58.5 - 2026,13.00,AUD,31.29,"1,512.88"
2026-08-10,Pesado 58.5 - Non Brand Search Categories - 2026,1.00,AUD,56.04,327.68
2026-08-10,Pesado 58.5 - Standar Shopping - AU,1.00,AUD,71.23,88.00
