Sales Enquiry as of 31/10/2025,,,,,,,,,
Order Date,Product Code,Product,Customer,Product Group,Warehouse,Status,Quantity,Sub Total,Customer Type
29/10/2025,CA3070TM2,C Accessories - Tamping Corner Mat Large,The Cart Co.,Coffee Accessories,Main Warehouse,Completed,1,17.50,AUS Wholesale
29/10/2025,AB3070-ClickTamper,Artisan Barista - Lotus Click Tamper 58.3mm,The Cart Co.,The Artisan Barista,Main Warehouse,Completed,2,113.26,AUS Wholesale
29/10/2025,Courier Fee,Courier Fee,Segafredo,,Main Warehouse,Completed,1,20.00,AUS Wholesale
29/10/2025,Misc. Product,Misc. Product,Segafredo,Accessories,Main Warehouse,Completed,1,0.00,AUS Wholesale
29/10/2025,VK2005004,Domestic knock box,Shop Sale,Accessories,Main Warehouse,Completed,1,36.36,AUS Wholesale
29/10/2025,PSD-HD-54,High Diffusion shower screen for (Breville 54mm),Coffee Nerd,PESADO,Main Warehouse,Parked,12,60.00,AUS Wholesale
29/10/2025,Courier Fee,Courier Fee,Coffee Machine Technologies,,Main Warehouse,Completed,1,25.44,AUS Wholesale
29/10/2025,HG5544YY,V02 Ceramic Pour Over Cone Yellow,Coffee Machine Technologies,Tiamo,Main Warehouse,Completed,2,30.55,AUS Wholesale
29/10/2025,HG5544PK,V02 Ceramic Pour Over Cone Pink,Coffee Machine Technologies,Tiamo,Main Warehouse,Completed,2,30.54,AUS Wholesale
29/10/2025,HG5544BB,V02 Ceramic Pour Over Cone Blue,Coffee Machine Technologies,Tiamo,Main Warehouse,Completed,2,30.54,AUS Wholesale
29/10/2025,HG5538W,V02 Ceramic Pour Over Cone White,Coffee Machine Technologies,Tiamo,Main Warehouse,Completed,2,30.54,AUS Wholesale
29/10/2025,HG3725W,Pour Over Filter - V02 White,Coffee Machine Technologies,Tiamo,Main Warehouse,Completed,10,65.40,AUS Wholesale
29/10/2025,AB3070EK-BK,Artisan Barista 1lt Electric Kettle Black,Coffee Machine Technologies,The Artisan Barista,Main Warehouse,Completed,4,338.16,AUS Wholesale
29/10/2025,Courier Fee,Courier Fee,Coffee Machine Technologies,,Main Warehouse,Completed,1,8.04,AUS Wholesale
29/10/2025,Tamp-M_PROX_sensor,Tamp-M Proximity Sensor,Coffee Machine Technologies,Tamp-M,Main Warehouse,Completed,1,113.57,AUS Wholesale
29/10/2025,,B2B Pickup/Dropship,Blackboard Coffee Roasters,,Main Warehouse,Completed,1,0.00,AUS Wholesale
29/10/2025,AB3070EK-BU,Artisan Barista 1lt Electric Kettle Sky Blue,Blackboard Coffee Roasters,The Artisan Barista,Main Warehouse,Completed,1,91.59,AUS Wholesale
28/10/2025,Courier Fee,Courier Fee,sweet spot kaffee GmbH,,China-W,Parked,1,264.14,ITL Wholesale
28/10/2025,V2-PSDring-58mm,Pesado Magnetic 58mm Dosing Ring,sweet spot kaffee GmbH,PESADO,China-W,Parked,20,334.73,ITL Wholesale
28/10/2025,PSD-HE-LG,Pesado He[%] Basket - Large,sweet spot kaffee GmbH,PESADO,China-W,Parked,10,557.88,ITL Wholesale
28/10/2025,PSD-HE-ME,Pesado He[%] Basket - Medium,sweet spot kaffee GmbH,PESADO,China-W,Parked,20,"1,115.76",ITL Wholesale
28/10/2025,PSD-HE-SM,Pesado He[%] Basket - Small,sweet spot kaffee GmbH,PESADO,China-W,Parked,30,"1,673.64",ITL Wholesale
28/10/2025,PSD-HD-MV58,High Diffusion shower screen for Breville 58,PESADO-NEW,PESADO,China-W,Parked,1,61.99,Web
28/10/2025,PSD-HE-SM,Pesado He[%] Basket - Small,PESADO-NEW,PESADO,China-W,Parked,1,89.88,Web
28/10/2025,PSD-HE-ME,Pesado He[%] Basket - Medium,PESADO-NEW,PESADO,China-W,Parked,1,89.88,Web
28/10/2025,PSD-HE-LG,Pesado He[%] Basket - Large,PESADO-NEW,PESADO,China-W,Parked,1,89.88,Web
28/10/2025,PSD-HE-XL,Pesado He[%] Basket - Extra Large,PESADO-NEW,PESADO,China-W,Parked,1,89.88,Web
28/10/2025,PRE-BR58-SET,Breville 58mm Hybrid Precision Set,PESADO-NEW,PESADO,China-W,Parked,1,268.09,Web
28/10/2025,V2-PSD-distributor,Pesado Impact-Gravity Distributor 58.5mm,Shop Sale,PESADO,Main Warehouse,Completed,1,56.73,AUS Wholesale
28/10/2025,Courier Fee,Courier Fee,Dipacci Coffee Company Pty Ltd,,Main Warehouse,Backordered,1,12.46,AUS Wholesale
28/10/2025,PSD-HD-54,High Diffusion shower screen for (Breville 54mm),Dipacci Coffee Company Pty Ltd,PESADO,Main Warehouse,Backordered,6,286.36,AUS Wholesale
28/10/2025,AeroPPF,AeroPress Paper Filter 350 filters per pack,Dipacci Coffee Company Pty Ltd,Aeropress,Main Warehouse,Backordered,20,237.30,AUS Wholesale
28/10/2025,PSD-HD-E61,Pesado High Diffusion Shower Screen E61,Dipacci Coffee Company Pty Ltd,PESADO,Main Warehouse,Backordered,6,362.71,AUS Wholesale
28/10/2025,Courier Fee,Courier Fee,Ona Coffee,,Main Warehouse,Backordered,1,38.31,AUS Wholesale
28/10/2025,AB3070S-BK,Artisan Barista - Barista Precision Scale - Black,Ona Coffee,The Artisan Barista,Main Warehouse,Backordered,50,"2,097.00",AUS Wholesale
28/10/2025,Courier Fee,Courier Fee,PROKURE Aus PTY LTD - Alternative Brewing,,Main Warehouse,Backordered,1,209.60,AUS Wholesale
28/10/2025,Fee,Fee,PROKURE Aus PTY LTD - Alternative Brewing,,Main Warehouse,Backordered,1,909.09,AUS Wholesale
28/10/2025,PSD-HD-54,High Diffusion shower screen for (Breville 54mm),PROKURE Aus PTY LTD - Alternative Brewing,PESADO,Main Warehouse,Backordered,46,"1,881.77",AUS Wholesale
28/10/2025,BC2400,Tamper Corner Mat,PROKURE Aus PTY LTD - Alternative Brewing,Tiamo,Main Warehouse,Backordered,59,708.00,AUS Wholesale
28/10/2025,AB3070EK-BK,Artisan Barista 1lt Electric Kettle Black,PROKURE Aus PTY LTD - Alternative Brewing,The Artisan Barista,Main Warehouse,Backordered,107,"9,045.78",AUS Wholesale
28/10/2025,PF02NS-FullPOM-HY,Pesado HYBRID Double Spouted Portafilter NS - Full POM,PROKURE Aus PTY LTD - Alternative Brewing,PESADO,Main Warehouse,Backordered,1,84.54,AUS Wholesale
28/10/2025,AB3070JRL-SS,Artisan Barista - Stainless Steel Jug Rinser Large,PROKURE Aus PTY LTD - Alternative Brewing,The Artisan Barista,Main Warehouse,Backordered,4,552.00,AUS Wholesale
28/10/2025,CA3070-Shaker,C Accessories - Fine Mesh shaker,PROKURE Aus PTY LTD - Alternative Brewing,Coffee Accessories,Main Warehouse,Backordered,5,32.58,AUS Wholesale
28/10/2025,HC7125ST,C Accessories 1lt Jug Stainless Steel,PROKURE Aus PTY LTD - Alternative Brewing,Coffee Accessories,Main Warehouse,Backordered,5,51.81,AUS Wholesale
28/10/2025,CA3070R-GD,C Accessories - Metallic Gold Dosing Ring,PROKURE Aus PTY LTD - Alternative Brewing,Coffee Accessories,Main Warehouse,Backordered,5,68.16,AUS Wholesale
28/10/2025,PSDdosingCup-WH-54,Pesado 54mm Dosing Cup - White,PROKURE Aus PTY LTD - Alternative Brewing,PESADO,Main Warehouse,Backordered,5,95.46,AUS Wholesale
28/10/2025,PSDdosingCup-WH,Pesado 58mm Dosing Cup - White,PROKURE Aus PTY LTD - Alternative Brewing,PESADO,Main Warehouse,Backordered,5,95.46,AUS Wholesale
28/10/2025,PSDcrusher-Silver,Pesado Clump Crusher - Silver,PROKURE Aus PTY LTD - Alternative Brewing,PESADO,Main Warehouse,Backordered,5,120.00,AUS Wholesale
28/10/2025,AB3070CD,Artisan Barista Distributor 58.3mm,PROKURE Aus PTY LTD - Alternative Brewing,The Artisan Barista,Main Warehouse,Backordered,5,210.00,AUS Wholesale
28/10/2025,PSD-HE-XL,Pesado He[%] Basket - Extra Large,PROKURE Aus PTY LTD - Alternative Brewing,PESADO,Main Warehouse,Backordered,5,231.81,AUS Wholesale
28/10/2025,PSD-HD-MV,"High Diffusion shower screen for (NS,VA, Breville 58)",PROKURE Aus PTY LTD - Alternative Brewing,PESADO,Main Warehouse,Backordered,5,240.00,AUS Wholesale
28/10/2025,CA3070KC,C Accessories Knock Chute,PROKURE Aus PTY LTD - Alternative Brewing,Coffee Accessories,Main Warehouse,Backordered,1,42.00,AUS Wholesale
28/10/2025,AB3070MJ600RAINBOW,Artisan Barista 600ml Jug Metallic Rainbow,PROKURE Aus PTY LTD - Alternative Brewing,The Artisan Barista,Main Warehouse,Backordered,1,35.45,AUS Wholesale
28/10/2025,PF00BR54-FullPOM-HY,Pesado HYBRID Naked Portafilter Breville 54mm - Full POM,PROKURE Aus PTY LTD - Alternative Brewing,PESADO,Main Warehouse,Backordered,1,54.00,AUS Wholesale
28/10/2025,PF00NS-FullPOM-HY,Pesado HYBRID Naked Portafilter NS - Full POM,PROKURE Aus PTY LTD - Alternative Brewing,PESADO,Main Warehouse,Backordered,1,54.00,AUS Wholesale
28/10/2025,PF02NS-FullPOM,Pesado Double Spouted Portafilter NS - Full POM,PROKURE Aus PTY LTD - Alternative Brewing,PESADO,Main Warehouse,Backordered,1,60.00,AUS Wholesale
28/10/2025,PSDT-53.5-WBZ,Pesado 53.5mm Tamper - White/Bronze,PROKURE Aus PTY LTD - Alternative Brewing,PESADO,Main Warehouse,Backordered,1,65.45,AUS Wholesale
28/10/2025,PSDTMBKIris,Pesado Tamper - Black/Iris,PROKURE Aus PTY LTD - Alternative Brewing,PESADO,Main Warehouse,Backordered,1,70.91,AUS Wholesale
28/10/2025,PF00BR54-WSL-HY,Pesado HYBRID Naked Portafilter Breville 54mm - White/Silver,PROKURE Aus PTY LTD - Alternative Brewing,PESADO,Main Warehouse,Backordered,1,81.82,AUS Wholesale
28/10/2025,PF00BR54-BBZ-HY,Pesado HYBRID Naked Portafilter Breville 54mm - Black/Bronze,PROKURE Aus PTY LTD - Alternative Brewing,PESADO,Main Warehouse,Backordered,1,81.82,AUS Wholesale
28/10/2025,PF02NS-WSL,Pesado Double Spouted Portafilter NS - White/Silver,PROKURE Aus PTY LTD - Alternative Brewing,PESADO,Main Warehouse,Backordered,1,81.82,AUS Wholesale
28/10/2025,PF00NS-BSL-HY,Pesado HYBRID Naked Portafilter NS - Black/Silver,PROKURE Aus PTY LTD - Alternative Brewing,PESADO,Main Warehouse,Backordered,1,81.82,AUS Wholesale
28/10/2025,CA3070TM1,C Accessories - Tamping Corner Mat Small,PROKURE Aus PTY LTD - Alternative Brewing,Coffee Accessories,Main Warehouse,Backordered,2,24.00,AUS Wholesale
28/10/2025,HC7124PK,C Accessories 600ml Jug Pink,PROKURE Aus PTY LTD - Alternative Brewing,Coffee Accessories,Main Warehouse,Backordered,2,25.63,AUS Wholesale
28/10/2025,Misc. Product,Misc. Product,PROKURE Aus PTY LTD - Alternative Brewing,Accessories,Main Warehouse,Backordered,2,18.00,AUS Wholesale
28/10/2025,CA3070TM2,C Accessories - Tamping Corner Mat Large,PROKURE Aus PTY LTD - Alternative Brewing,Coffee Accessories,Main Warehouse,Backordered,2,30.00,AUS Wholesale
28/10/2025,PSD-PuckHolder,Pesado Double Puck Screen Holder,PROKURE Aus PTY LTD - Alternative Brewing,PESADO,Main Warehouse,Backordered,2,32.72,AUS Wholesale
28/10/2025,PSDcrusher-Haze,Pesado Clump Crusher - Haze,PROKURE Aus PTY LTD - Alternative Brewing,PESADO,Main Warehouse,Backordered,2,48.00,AUS Wholesale
28/10/2025,PSDcrusher-Dusk,Pesado Clump Crusher - Dusk,PROKURE Aus PTY LTD - Alternative Brewing,PESADO,Main Warehouse,Backordered,2,48.00,AUS Wholesale
28/10/2025,HC7110TB,Tiamo Tapered Jug 650ml - Teal Blue,PROKURE Aus PTY LTD - Alternative Brewing,Tiamo,Main Warehouse,Backordered,2,57.85,AUS Wholesale
28/10/2025,PSDjug,Pesado Jug - Charcoal,PROKURE Aus PTY LTD - Alternative Brewing,PESADO,Main Warehouse,Backordered,2,58.91,AUS Wholesale
28/10/2025,AB3070MJ350RAINBOW,Artisan Barista 350ml Jug Metallic Rainbow,PROKURE Aus PTY LTD - Alternative Brewing,The Artisan Barista,Main Warehouse,Backordered,2,65.45,AUS Wholesale
28/10/2025,PSD-HE-LG,Pesado He[%] Basket - Large,PROKURE Aus PTY LTD - Alternative Brewing,PESADO,Main Warehouse,Backordered,2,92.72,AUS Wholesale
28/10/2025,AB3070MJ350GD,Artisan Barista 350ml Jug Metallic Gold,PROKURE Aus PTY LTD - Alternative Brewing,The Artisan Barista,Main Warehouse,Backordered,3,98.17,AUS Wholesale
28/10/2025,PSDTMBBZ,Pesado Tamper - Black/Bronze,PROKURE Aus PTY LTD - Alternative Brewing,PESADO,Main Warehouse,Backordered,3,196.36,AUS Wholesale
28/10/2025,PSDTWRaya,Pesado Tamper - Raya,PROKURE Aus PTY LTD - Alternative Brewing,PESADO,Main Warehouse,Backordered,3,212.72,AUS Wholesale
28/10/2025,PF00GA-WHPOM-HY,Pesado HYBRID Naked Portafilter GA  - White FullPOM,PROKURE Aus PTY LTD - Alternative Brewing,PESADO,Main Warehouse,Backordered,2,108.00,AUS Wholesale
28/10/2025,PF02MV-WHZ-HY,Pesado HYBRID Double Spouted Portafilter 5mm E61 - White/Haze,PROKURE Aus PTY LTD - Alternative Brewing,PESADO,Main Warehouse,Backordered,2,212.72,AUS Wholesale
28/10/2025,HG6356,HG6333/HG2605 Liquid Holder,PROKURE Aus PTY LTD - Alternative Brewing,Tiamo Cold Drip,Main Warehouse,Backordered,5,360.00,AUS Wholesale
28/10/2025,MANUSBK,MANUSBK,PROKURE Aus PTY LTD - Alternative Brewing,Dolo,Main Warehouse,Backordered,24,"34,909.09",AUS Wholesale
28/10/2025,EP-20g,EP-20g Pesado Basket -electro polished basket,PROKURE Aus PTY LTD - Alternative Brewing,PESADO,Main Warehouse,Backordered,1,16.36,AUS Wholesale
28/10/2025,JugRinser_SealKit,Tiamo Jug rinser seal kit,PROKURE Aus PTY LTD - Alternative Brewing,Tiamo,Main Warehouse,Backordered,1,13.63,AUS Wholesale
28/10/2025,PSDcrusher-Gold,Pesado Clump Crusher - Gold,PROKURE Aus PTY LTD - Alternative Brewing,PESADO,Main Warehouse,Backordered,1,24.00,AUS Wholesale
28/10/2025,AB3070JRS-Box,Artisan Barista Jug Rinser Small - Benchtop Stand,PROKURE Aus PTY LTD - Alternative Brewing,The Artisan Barista,Main Warehouse,Backordered,1,27.27,AUS Wholesale
28/10/2025,AB3070JRL-Box,Artisan Barista Jug Rinser Large - Benchtop Stand,PROKURE Aus PTY LTD - Alternative Brewing,The Artisan Barista,Main Warehouse,Backordered,1,32.72,AUS Wholesale
28/10/2025,JRStarSS,TiAmo Stainless Steel Jug Rinser Star,PROKURE Aus PTY LTD - Alternative Brewing,Tiamo,Main Warehouse,Backordered,1,24.82,AUS Wholesale
28/10/2025,PF00LM-BGD-HY,Pesado HYBRID Naked Portafilter LM 6mm - Black/Gold,PROKURE Aus PTY LTD - Alternative Brewing,PESADO,Main Warehouse,Backordered,1,81.82,AUS Wholesale
28/10/2025,HG6372,Cold Drip Liquid Holder 2650,PROKURE Aus PTY LTD - Alternative Brewing,Tiamo Cold Drip,Main Warehouse,Backordered,1,84.00,AUS Wholesale
28/10/2025,PF00BR58BK-Iris-HY,Pesado HYBRID Naked Portafilter Breville 58mm - Black/Iris,PROKURE Aus PTY LTD - Alternative Brewing,PESADO,Main Warehouse,Backordered,1,87.27,AUS Wholesale
28/10/2025,PF00BR54BK-Iris-HY,Pesado HYBRID Naked Portafilter Breville 54mm - Black/Iris,PROKURE Aus PTY LTD - Alternative Brewing,PESADO,Main Warehouse,Backordered,1,87.27,AUS Wholesale
28/10/2025,PSDTMDAWDk,Pesado Tamper w/ Depth Adjuster - White/Dusk,PROKURE Aus PTY LTD - Alternative Brewing,PESADO,Main Warehouse,Backordered,1,87.27,AUS Wholesale
28/10/2025,PSDTMDABBz,Pesado Tamper w/ Depth Adjuster - Black/Bronze,PROKURE Aus PTY LTD - Alternative Brewing,PESADO,Main Warehouse,Backordered,1,87.27,AUS Wholesale
28/10/2025,PSDTMDAWHIris,Pesado Tamper w/ Depth Adjuster - White/Iris,PROKURE Aus PTY LTD - Alternative Brewing,PESADO,Main Warehouse,Backordered,1,98.18,AUS Wholesale
28/10/2025,HG6370-1,HG2650 Water Bowl,PROKURE Aus PTY LTD - Alternative Brewing,Tiamo Cold Drip,Main Warehouse,Backordered,1,99.27,AUS Wholesale
28/10/2025,PF00GA-WHPOM-HY,Pesado HYBRID Naked Portafilter GA  - White FullPOM,PROKURE Aus PTY LTD - Alternative Brewing,PESADO,Main Warehouse,Backordered,2,108.00,AUS Wholesale
28/10/2025,CA3070R-BZ,C Accessories - Metallic Bronze Dosing Ring,PROKURE Aus PTY LTD - Alternative Brewing,Coffee Accessories,Main Warehouse,Backordered,2,27.26,AUS Wholesale
28/10/2025,PSDTMBKRiga,Pesado Tamper - Black/Riga,PROKURE Aus PTY LTD - Alternative Brewing,PESADO,Main Warehouse,Backordered,2,141.82,AUS Wholesale
28/10/2025,PSDTMBSl,Pesado Tamper - Black/Silver,PROKURE Aus PTY LTD - Alternative Brewing,PESADO,Main Warehouse,Backordered,2,130.91,AUS Wholesale
28/10/2025,HG6329-2,Liquid Container for HG6329,PROKURE Aus PTY LTD - Alternative Brewing,Tiamo Cold Drip,Main Warehouse,Backordered,2,108.00,AUS Wholesale
28/10/2025,PF00BR54-BSL-HY,Pesado HYBRID Naked Portafilter Breville 54mm - Black/Silver,PROKURE Aus PTY LTD - Alternative Brewing,PESADO,Main Warehouse,Backordered,2,163.63,AUS Wholesale
28/10/2025,PSDNS,Pesado Competition Shower Screen - Nuova Simonelli,PROKURE Aus PTY LTD - Alternative Brewing,PESADO,Main Warehouse,Backordered,3,57.28,AUS Wholesale
