Sales Enquiry as of 19/08/2025,,,,,,,,
Order Date,Product Code,Product,Customer,Product Group,Warehouse,Status,Quantity,Sub Total
15/08/2025,PSD-removablepins,4 pack of removable pins for WDT Clump Crusher,Drip Coffee GmbH,PESADO,Main Warehouse,Parked,2,2.67
04/08/2025,PF00BR54-BDK-HY,Pesado HYBRID Naked Portafilter Breville 54mm - Black/Dusk,PESADO-NEW,PESADO,Main Warehouse,Completed,1,193.93
04/08/2025,PSD-HE-54,Pesado He[%] Basket - Breville 54mm,PESADO-NEW,PESADO,Main Warehouse,Completed,1,103.03
05/08/2025,PSD-HE-54,Pesado He[%] Basket - Breville 54mm,PESADO-NEW,PESADO,Main Warehouse,Completed,1,103.03
05/08/2025,PSD-HD-54,High Diffusion shower screen for (Breville 54mm),PESADO-NEW,PESADO,Main Warehouse,Completed,1,90.91
05/08/2025,PF00BR54-BSL-HY,Pesado HYBRID Naked Portafilter Breville 54mm - Black/Silver,PESADO-NEW,PESADO,Main Warehouse,Completed,1,181.81
05/08/2025,PSD-puck-54,Pesado Puck Diffuser Screen 54mm,PESADO-NEW,PESADO,Main Warehouse,Completed,1,33.33
06/08/2025,PF00BR54-BHZ-HY,Pesado HYBRID Naked Portafilter Breville 54mm - Black/Haze,PESADO-NEW,PESADO,Main Warehouse,Completed,1,193.93
06/08/2025,PSD-HE-54,Pesado He[%] Basket - Breville 54mm,PESADO-NEW,PESADO,Main Warehouse,Completed,1,103.03
06/08/2025,PSD-HD-54,High Diffusion shower screen for (Breville 54mm),PESADO-NEW,PESADO,Main Warehouse,Completed,1,90.91
06/08/2025,PF00BR58WH-Iris-HY,Pesado HYBRID Naked Portafilter Breville 58mm - White/Iris,PESADO-NEW,PESADO,Main Warehouse,Completed,1,193.93
06/08/2025,PSD-HD-MV,"High Diffusion shower screen for (NS,VA, Breville 58)",PESADO-NEW,PESADO,Main Warehouse,Completed,1,106.67
06/08/2025,PSD-HD-MV,"High Diffusion shower screen for (NS,VA, Breville 58)",PESADO-NEW,PESADO,Main Warehouse,Completed,1,93.87
06/08/2025,PSD-HE-XL,Pesado He[%] Basket - Extra Large,PESADO-NEW,PESADO,Main Warehouse,Completed,1,90.66
06/08/2025,PF00BR58-WHPOM-HY,Pesado HYBRID Naked Portafilter Breville 58mm - White Full POM,PESADO-NEW,PESADO,Main Warehouse,Completed,1,117.33
06/08/2025,PSD-puck,Pesado Puck Diffuser Screen 58mm,PESADO-NEW,PESADO,Main Warehouse,Completed,1,29.33
07/08/2025,PSD-HE-XL,Pesado He[%] Basket - Extra Large,PESADO-NEW,PESADO,Main Warehouse,Completed,1,103.03
07/08/2025,PSD-HD-MV,"High Diffusion shower screen for (NS,VA, Breville 58)",PESADO-NEW,PESADO,Main Warehouse,Completed,1,106.67
07/08/2025,PF00BR58-FullPOM-HY,Pesado HYBRID Naked Portafilter Breville 58mm - Full POM,PESADO-NEW,PESADO,Main Warehouse,Completed,1,133.33
07/08/2025,Fee,Fee,PESADO-NEW,,Main Warehouse,Completed,1,0.01
07/08/2025,PF00BR58BK-Iris-HY,Pesado HYBRID Naked Portafilter Breville 58mm - Black/Iris,PESADO-NEW,PESADO,Main Warehouse,Completed,1,193.93
07/08/2025,PSD-HD-MV,"High Diffusion shower screen for (NS,VA, Breville 58)",PESADO-NEW,PESADO,Main Warehouse,Completed,1,106.67
07/08/2025,PSD-HE-LG,Pesado He[%] Basket - Large,PESADO-NEW,PESADO,Main Warehouse,Completed,1,92.72
09/08/2025,PF00BR58WH-Iris-HY,Pesado HYBRID Naked Portafilter Breville 58mm - White/Iris,PESADO-USA,PESADO,China-W,Completed,1,184.60
10/08/2025,PSD-HD-MV,"High Diffusion shower screen for (NS,VA, Breville 58)",PESADO-NEW,PESADO,Main Warehouse,Completed,1,106.67
10/08/2025,PF00BR58BK-Iris-HY,Pesado HYBRID Naked Portafilter Breville 58mm - Black/Iris,PESADO-NEW,PESADO,Main Warehouse,Completed,1,193.93
10/08/2025,PF00BR58-WBZ-HY,Pesado HYBRID Naked Portafilter Breville 58mm - White/Bronze,PESADO-NEW,PESADO,Main Warehouse,Completed,1,181.81
11/08/2025,PSD-HD-MV,"High Diffusion shower screen for (NS,VA, Breville 58)",PESADO-NEW,PESADO,Main Warehouse,Completed,1,106.67
11/08/2025,PF00BR58-FullPOM-HY,Pesado HYBRID Naked Portafilter Breville 58mm - Full POM,PESADO-NEW,PESADO,Main Warehouse,Completed,1,133.33
14/08/2025,AB3070EK-WH,Artisan Barista 1lt Electric Kettle White,Whyld Coffee & Connections,The Artisan Barista,Main Warehouse,Completed,1,98.63
14/08/2025,BBlind,Blind Filter 58mm,Whyld Coffee & Connections,Coffee Machine Parts & Accesories,Main Warehouse,Completed,1,7.00
14/08/2025,CA3070KT,C Accessories Commercial Knock Tube,Whyld Coffee & Connections,Coffee Accessories,Main Warehouse,Completed,1,42.00
14/08/2025,Misc. Product,Misc. Product,Whyld Coffee & Connections,Accessories,Main Warehouse,Completed,1,545.45
02/08/2025,PF00BR58-WHPOM-HY,Pesado HYBRID Naked Portafilter Breville 58mm - White Full POM,PESADO-NEW,PESADO,Main Warehouse,Completed,1,133.33
02/08/2025,PSD-HD-MV,"High Diffusion shower screen for (NS,VA, Breville 58)",PESADO-NEW,PESADO,Main Warehouse,Completed,1,106.67
02/08/2025,Fee,Fee,PESADO-NEW,,Main Warehouse,Completed,1,0.03
02/08/2025,PSD-HD-MV,"High Diffusion shower screen for (NS,VA, Breville 58)",PESADO-NEW,PESADO,Main Warehouse,Completed,1,96.00
02/08/2025,PSD-HE-LG,Pesado He[%] Basket - Large,PESADO-NEW,PESADO,Main Warehouse,Completed,1,92.72
02/08/2025,PF00BR58-BSL-HY,Pesado HYBRID Naked Portafilter Breville 58mm - Black/Silver,PESADO-NEW,PESADO,Main Warehouse,Completed,1,163.63
02/08/2025,PF00BR58BK-Riga-HY,Pesado HYBRID Naked Portafilter Breville 58mm - Black/Riga,PESADO-NEW,PESADO,Main Warehouse,Completed,1,193.93
02/08/2025,PSD-HD-MV,"High Diffusion shower screen for (NS,VA, Breville 58)",PESADO-NEW,PESADO,Main Warehouse,Completed,1,106.67
02/08/2025,PSD-HE-LG,Pesado He[%] Basket - Large,PESADO-NEW,PESADO,Main Warehouse,Completed,1,103.03
01/08/2025,PF00BR58BK-Riga-HY,Pesado HYBRID Naked Portafilter Breville 58mm - Black/Riga,PESADO-NEW,PESADO,Main Warehouse,Completed,1,193.93
01/08/2025,PSD-HD-MV,"High Diffusion shower screen for (NS,VA, Breville 58)",PESADO-NEW,PESADO,Main Warehouse,Completed,1,106.67
01/08/2025,PF00BR54-FullPOM-HY,Pesado HYBRID Naked Portafilter Breville 54mm - Full POM,PESADO-NEW,PESADO,Main Warehouse,Completed,1,117.33
01/08/2025,PSD-HD-54,High Diffusion shower screen for (Breville 54mm),PESADO-NEW,PESADO,Main Warehouse,Completed,1,80.00
01/08/2025,PSD-HE-54,Pesado He[%] Basket - Breville 54mm,PESADO-NEW,PESADO,Main Warehouse,Completed,1,90.66
14/08/2025,Courier Fee,Courier Fee,PROKURE Aus PTY LTD - Alternative Brewing,,Main Warehouse,Completed,1,35.05
14/08/2025,Misc. Product,Misc. Product,PROKURE Aus PTY LTD - Alternative Brewing,Accessories,Main Warehouse,Completed,1,0.00
14/08/2025,Courier Fee,Courier Fee,Merlo Coffee,,Main Warehouse,Completed,1,13.25
14/08/2025,PF02LM-FullPOM,Pesado Double Spouted Portafilter LM 6mm - Full POM,Merlo Coffee,PESADO,Main Warehouse,Completed,6,420.00
14/08/2025,Courier Fee,Courier Fee,Coffee Machines and Beans,,Main Warehouse,Completed,1,9.97
14/08/2025,PF02LM-FullPOM,Pesado Double Spouted Portafilter LM 6mm - Full POM,Coffee Machines and Beans,PESADO,Main Warehouse,Completed,1,65.00
14/08/2025,EP-18g,EP-18g Pesado Basket - electro polished basket,Coffee Machines and Beans,PESADO,Main Warehouse,Completed,2,35.45
14/08/2025,PSdepth,PSDDA - Pesado Depth Adjuster,Bean Scene Around,PESADO,Main Warehouse,Completed,2,0.00
14/08/2025,PSD-puck-54,Pesado Puck Diffuser Screen 54mm,Shop Sale,PESADO,Main Warehouse,Completed,1,25.00
14/08/2025,EP-BR-20g,EP-BR-20g Pesado Basket - electro polished basket,Shop Sale,PESADO,Main Warehouse,Completed,1,27.27
14/08/2025,MANUSWH,MANUSWH,Espresso Tenango,,Main Warehouse,Parked,1,"1,454.55"
14/08/2025,Courier Fee,Courier Fee,Fluid Espresso Services,,Main Warehouse,Completed,1,12.38
14/08/2025,PF02LM-FullPOM,Pesado Double Spouted Portafilter LM 6mm - Full POM,Fluid Espresso Services,PESADO,Main Warehouse,Completed,3,0.00
14/08/2025,MGHBKC3,BWT MaxiPro Head & Bracket Kit  (Grey),Complete Espresso,BWT,Main Warehouse,Completed,1,35.91
14/08/2025,QC3533P,"BWT MaxiPro Ctg 10"" CTO Scale/Molded Block MKII",Complete Espresso,BWT,Main Warehouse,Completed,1,53.90
14/08/2025,Courier Fee,Courier Fee,Veneziano Coffee Roasters Pty Ltd,,Main Warehouse,Completed,1,24.67
14/08/2025,Tamp-M-WH,Tamp Master - Automatic Tamping Machine - White,Veneziano Coffee Roasters Pty Ltd,,Main Warehouse,Completed,1,"1,200.00"
14/08/2025,Courier Fee,Courier Fee,Commercial Kitchen Company,,Main Warehouse,Completed,1,26.65
14/08/2025,HC7125ST,C Accessories 1lt Jug Stainless Steel,Commercial Kitchen Company,Coffee Accessories,Main Warehouse,Completed,20,207.24
14/08/2025,HC7125BK,C Accessories 1lt Jug Black,Commercial Kitchen Company,Coffee Accessories,Main Warehouse,Completed,10,166.38
14/08/2025,HC7124ST,C Accessories 600ml Jug Stainless Steel,Commercial Kitchen Company,Coffee Accessories,Main Warehouse,Completed,30,229.14
14/08/2025,HC7123ST,C Accessories 300ml Jug Stainless Steel,Commercial Kitchen Company,Coffee Accessories,Main Warehouse,Completed,25,170.40
14/08/2025,Courier Fee,Courier Fee,Coffico Coffee Pty Ltd,,Main Warehouse,Completed,1,33.66
14/08/2025,Tamp-M-BK,Tamp Master - Automatic Tamping Machine - Black,Coffico Coffee Pty Ltd,,Main Warehouse,Completed,1,"1,200.00"
13/08/2025,Courier Fee,Courier Fee,ArtisanBarista-OnlineSale,,Main Warehouse,Completed,1,15.68
13/08/2025,Misc. Product,Misc. Product,ArtisanBarista-OnlineSale,Accessories,Main Warehouse,Completed,1,0.00
13/08/2025,Courier Fee,Courier Fee,Bean Around Town,,Main Warehouse,Completed,1,24.67
13/08/2025,HC7124WH,C Accessories 600ml Jug White,Bean Around Town,Coffee Accessories,Main Warehouse,Completed,2,25.63
13/08/2025,HC7125BK,C Accessories 1lt Jug Black,Bean Around Town,Coffee Accessories,Main Warehouse,Completed,4,66.55
13/08/2025,HC7123ST,C Accessories 300ml Jug Stainless Steel,Bean Around Town,Coffee Accessories,Main Warehouse,Completed,4,27.26
