Sales Enquiry as of 31/10/2025,,,,,,,,,
Order Date,Product Code,Product,Customer,Product Group,Warehouse,Status,Quantity,Sub Total,Customer Type
30/10/2025,FBN1238,Fitting Brass Nipple 1/2 x 3/8,Dolo-OnlineSale,Coffee Machine Parts & Accesories,Main Warehouse,Parked,2,7.00,Web
30/10/2025,FBH12F1000,Flexible Braided Hose 1000mm 1/2 (Cone),Dolo-OnlineSale,Coffee Machine Parts & Accesories,Main Warehouse,Parked,2,28.00,Web
30/10/2025,Courier Fee,Courier Fee,Coffee Galleria,,Main Warehouse,Completed,1,25.44,AUS Wholesale
30/10/2025,CA3070KT,C Accessories Commercial Knock Tube,Coffee Galleria,Coffee Accessories,Main Warehouse,Completed,2,84.00,AUS Wholesale
30/10/2025,EP-22g,EP-22g Pesado Basket- electro polished basket,Coffee Galleria,PESADO,Main Warehouse,Completed,6,72.00,AUS Wholesale
30/10/2025,Tamp-M-BK,Tamp Master - Automatic Tamping Machine - Black,Coffee Galleria,Tamp-M,Main Warehouse,Completed,1,"1,200.00",AUS Wholesale
30/10/2025,Courier Fee,Courier Fee,Commercial Kitchen Company,,Main Warehouse,Completed,1,25.44,AUS Wholesale
30/10/2025,CATblack,C Accessories Tamper Black,Commercial Kitchen Company,Coffee Accessories,Main Warehouse,Completed,2,72.00,AUS Wholesale
30/10/2025,CA3070TM2,C Accessories - Tamping Corner Mat Large,Commercial Kitchen Company,Coffee Accessories,Main Warehouse,Completed,5,75.00,AUS Wholesale
30/10/2025,HC7125WH,C Accessories 1lt Jug White,Commercial Kitchen Company,Coffee Accessories,Main Warehouse,Completed,3,49.91,AUS Wholesale
30/10/2025,HC7125VL,C Accessories 1lt Jug Violet,Commercial Kitchen Company,Coffee Accessories,Main Warehouse,Completed,2,33.28,AUS Wholesale
30/10/2025,HC7125ST,C Accessories 1lt Jug Stainless Steel,Commercial Kitchen Company,Coffee Accessories,Main Warehouse,Completed,6,62.17,AUS Wholesale
30/10/2025,HC7125BK,C Accessories 1lt Jug Black,Commercial Kitchen Company,Coffee Accessories,Main Warehouse,Completed,6,99.83,AUS Wholesale
30/10/2025,HC7124TB,C Accessories 600ml Jug Teal Blue,Commercial Kitchen Company,Coffee Accessories,Main Warehouse,Completed,2,25.63,AUS Wholesale
30/10/2025,HC7124PK,C Accessories 600ml Jug Pink,Commercial Kitchen Company,Coffee Accessories,Main Warehouse,Completed,4,51.26,AUS Wholesale
30/10/2025,HC7124BK,C Accessories 600ml Jug Black,Commercial Kitchen Company,Coffee Accessories,Main Warehouse,Completed,6,76.90,AUS Wholesale
30/10/2025,HC7123WH,C Accessories 300ml Jug White,Commercial Kitchen Company,Coffee Accessories,Main Warehouse,Completed,3,31.09,AUS Wholesale
30/10/2025,HC7123ST,C Accessories 300ml Jug Stainless Steel,Commercial Kitchen Company,Coffee Accessories,Main Warehouse,Completed,6,40.90,AUS Wholesale
30/10/2025,HC7123BK,C Accessories 300ml Jug Black,Commercial Kitchen Company,Coffee Accessories,Main Warehouse,Completed,3,31.09,AUS Wholesale
