Purchase Enquiry as of 11/12/2025,,,,,,,,,,,,
Order No.,Order Date,Delivery Date,Receipt Date,Warehouse,Supplier,Product Code,Product Description,Product Group,Sales Order Number,Order Status,Base Unit Qty,Landed Cost (AUD)
PO-00001258,11/11/2025,11/11/2025,,China-W,WINKIN 2025 (AUD),PFHLM,Pesado Double Spouted Portafilter  Head Only LM 6mm,PESADO,,PRODUCTION,400,"6,628.00"
PO-00001258,11/11/2025,11/11/2025,,China-W,WINKIN 2025 (AUD),PSD-HD-54,High Diffusion shower screen for (Breville 54mm),PESADO,,PRODUCTION,"1,000","13,720.00"
PO-00001258,11/11/2025,11/11/2025,,China-W,WINKIN 2025 (AUD),PSD-HD-MV,"High Diffusion shower screen for (NS,VA, Breville 58)",PESADO,,PRODUCTION,"1,800","36,270.00"
PO-00001254,11/11/2025,11/11/2025,,Main Warehouse,NDK,Tamp-M-WH,Tamp Master - Automatic Tamping Machine - White,Tamp-M,,PRODUCTION,20,"27,088.18"
PO-00001254,11/11/2025,11/11/2025,,Main Warehouse,NDK,Tamp-M-BK,Tamp Master - Automatic Tamping Machine - Black,Tamp-M,,PRODUCTION,40,"54,176.35"
PO-00001251,06/11/2025,06/11/2025,,China-W,WINKIN 2025 (AUD),PSD-PinUP,Pesado WDT tool Pin upgrade,PESADO,,PRODUCTION,"1,500","4,650.00"
PO-00001250,05/11/2025,05/11/2025,,China-W,WINKIN 2025 (AUD),Misc. Product,Misc. Product,Accessories,,PRODUCTION,"1,500",0.00
PO-00001250,05/11/2025,05/11/2025,,China-W,WINKIN 2025 (AUD),Misc. Product,Misc. Product,Accessories,,PRODUCTION,300,0.00
PO-00001250,05/11/2025,05/11/2025,,China-W,WINKIN 2025 (AUD),Misc. Product,Misc. Product,Accessories,,PRODUCTION,500,0.00
PO-00001249,05/11/2025,05/11/2025,,China-W,WINKIN 2025 (AUD),Bellman 600 S/S,600ml Stainless Steel BELLMAN jug,,,PRODUCTION,"1,008",0.00
PO-00001248,05/11/2025,05/11/2025,,China-W,WINKIN 2025 (AUD),AB3070EK-BK,Artisan Barista 1lt Electric Kettle Black,The Artisan Barista,,PRODUCTION,750,"26,527.50"
PO-00001221,16/09/2025,16/09/2025,,China-W,Wingking - Michelle,AB3070S-BK,Artisan Barista - Barista Precision Scale - Black,The Artisan Barista,,PRODUCTION,500,"13,559.60"
PO-00001221,16/09/2025,16/09/2025,,China-W,Wingking - Michelle,PSD-HE-54,Pesado He[%] Basket - Breville 54mm,PESADO,,PRODUCTION,400,"7,580.96"
PO-00001221,16/09/2025,16/09/2025,,China-W,Wingking - Michelle,PSD-HE-LG,Pesado He[%] Basket - Large,PESADO,,PRODUCTION,300,"5,685.72"
PO-00001221,16/09/2025,16/09/2025,,China-W,Wingking - Michelle,PSD-HE-ME,Pesado He[%] Basket - Medium,PESADO,,PRODUCTION,200,"3,790.48"
PO-00001221,16/09/2025,16/09/2025,,China-W,Wingking - Michelle,PSD-HE-SM,Pesado He[%] Basket - Small,PESADO,,PRODUCTION,50,947.62
PO-00001221,16/09/2025,16/09/2025,,China-W,Wingking - Michelle,PFH00BR54-HY,Pesado HYBRID Naked Portafilter Head Only Breville 54mm,PESADO,,PRODUCTION,500,"13,668.05"
PO-00001221,16/09/2025,16/09/2025,,China-W,Wingking - Michelle,PFH00BR58-HY,Pesado HYBRID Naked Portafilter Head Only Breville 58mm,PESADO,,PRODUCTION,500,"13,668.05"
PO-00001221,16/09/2025,16/09/2025,,China-W,Wingking - Michelle,PSD-HE-XL,Pesado He[%] Basket - Extra Large,PESADO,,PRODUCTION,200,"3,790.48"
PO-00001221,16/09/2025,16/09/2025,,China-W,Wingking - Michelle,V2-PSD-distributor,Pesado Impact-Gravity Distributor 58.5mm,PESADO,,PRODUCTION,250,"19,816.38"
PO-00001220,03/11/2025,03/11/2025,,China-W,Wingking - Michelle,Bellman 600 S/S,600ml Stainless Steel BELLMAN jug,,,PRODUCTION,"1,000",0.00
,,,,,,,,,,,"33,220","461,238.78"
