Production Enquiry as of 31/10/2025,,,,,,,,,
Assembly Number,Assembly Date,Assemble By,Product Code,Product Description,Product Group,Warehouse,Quantity,Total Cost,Assembly Status
ASM-00029388,08/07/2025,24/06/2025,PRE_SETMV,5mm E61 Hybrid Precision Set,PESADO,Main Warehouse,1,49.71,Completed
ASM-00029387,08/07/2025,24/06/2025,PSDHY,Pesado HYBRID Double Spouted Attachment - (LM 6mm - NS - BR 58),PESADO,Main Warehouse,-1,-9.45,Completed
ASM-00029387,08/07/2025,24/06/2025,PortafilterSpring,Filter Blocking Spring 1.20mm,Coffee Machine Parts & Accesories,Main Warehouse,-1,-0.48,Completed
ASM-00029387,08/07/2025,24/06/2025,PFMOD2-Silver,Pesado Portafilter Multi  Handle Module 2 - Silver,PESADO,Main Warehouse,-1,-6.82,Completed
ASM-00029387,08/07/2025,24/06/2025,PFMOD1-Black,Pesado Portafilter Multi  Handle Module 1 - Black,PESADO,Main Warehouse,-1,-3.10,Completed
ASM-00029387,08/07/2025,24/06/2025,PFH00MV-HY,Pesado HYBRID Naked Portafilter Head Only - 5mm E61,PESADO,Main Warehouse,-1,-17.63,Completed
ASM-00029387,08/07/2025,24/06/2025,PF02MV-BSL-HY,Pesado HYBRID Double Spouted Portafilter 5mm E61 - Black/Silver,PESADO,Main Warehouse,1,37.48,Completed
ASM-00029386,30/06/2025,24/06/2025,PortafilterSpring,Filter Blocking Spring 1.20mm,Coffee Machine Parts & Accesories,Main Warehouse,-1,-0.48,Completed
ASM-00029386,30/06/2025,24/06/2025,PFMOD2-Riga,Pesado Portafilter Multi Handle Module 2 - Riga,PESADO,Main Warehouse,-1,-6.98,Completed
ASM-00029386,30/06/2025,24/06/2025,PFMOD1-Black,Pesado Portafilter Multi  Handle Module 1 - Black,PESADO,Main Warehouse,-1,-3.10,Completed
ASM-00029386,30/06/2025,24/06/2025,PFH00MV-HY,Pesado HYBRID Naked Portafilter Head Only - 5mm E61,PESADO,Main Warehouse,-1,-17.63,Completed
ASM-00029386,30/06/2025,24/06/2025,PF00MVBK-Riga-HY,Pesado HYBRID Naked Portafilter 5mm E61 - Black/Riga,PESADO,Main Warehouse,1,28.19,Completed
ASM-00029385,24/06/2025,24/06/2025,V2-PSDring-58mm,Pesado Magnetic 58mm Dosing Ring,PESADO,Main Warehouse,-1,-7.44,Completed
ASM-00029385,24/06/2025,24/06/2025,V2-PSD-distributor,Pesado Impact-Gravity Distributor 58.5mm,PESADO,Main Warehouse,-1,-51.15,Completed
ASM-00029385,24/06/2025,24/06/2025,V2-PSDcrusher-Stand,Pesado V2 Clump Crusher Stand (WDT tool),PESADO,Main Warehouse,-1,-6.98,Completed
ASM-00029385,24/06/2025,24/06/2025,PSD-PinUP,Pesado WDT tool Pin upgrade,PESADO,Main Warehouse,-1,-3.10,Completed
ASM-00029385,24/06/2025,24/06/2025,PSDleva-Raya,Pesado Leva knob - Raya,PESADO,Main Warehouse,-1,-6.98,Completed
ASM-00029385,24/06/2025,24/06/2025,PSDdosingCup-BK,Pesado 58mm Dosing Cup - Black Ripple edition,PESADO,Main Warehouse,-1,-6.51,Completed
ASM-00029385,24/06/2025,24/06/2025,DistributionBundle,Maximum Distribution Bundle,PESADO,Main Warehouse,1,82.16,Completed
ASM-00029383,08/07/2025,23/06/2025,PSDHY,Pesado HYBRID Double Spouted Attachment - (LM 6mm - NS - BR 58),PESADO,Main Warehouse,-1,-9.45,Completed
ASM-00029383,08/07/2025,23/06/2025,PSD-HE-LG,Pesado He[%] Basket - Large,PESADO,Main Warehouse,-1,-12.23,Completed
ASM-00029383,08/07/2025,23/06/2025,PortafilterSpring,Filter Blocking Spring 1.20mm,Coffee Machine Parts & Accesories,Main Warehouse,-1,-0.48,Completed
ASM-00029383,08/07/2025,23/06/2025,PFMOD2-Silver,Pesado Portafilter Multi  Handle Module 2 - Silver,PESADO,Main Warehouse,-1,-6.82,Completed
ASM-00029383,08/07/2025,23/06/2025,PFMOD1-Black,Pesado Portafilter Multi  Handle Module 1 - Black,PESADO,Main Warehouse,-1,-3.10,Completed
ASM-00029383,08/07/2025,23/06/2025,PFH00BR58-HY,Pesado HYBRID Naked Portafilter Head Only Breville 58mm,PESADO,Main Warehouse,-1,-17.64,Completed
ASM-00029383,08/07/2025,23/06/2025,PRE-BR58-SET,Breville 58mm Hybrid Precision Set,PESADO,Main Warehouse,1,49.72,Completed
ASM-00029382,08/07/2025,23/06/2025,PSDHWRaya,Pesado Portafilter Handle Only - Raya,PESADO,Main Warehouse,-1,-7.75,Completed
ASM-00029382,08/07/2025,23/06/2025,PortafilterSpring,Filter Blocking Spring 1.20mm,Coffee Machine Parts & Accesories,Main Warehouse,-1,-0.48,Completed
ASM-00029382,08/07/2025,23/06/2025,PFH00MV-HY,Pesado HYBRID Naked Portafilter Head Only - 5mm E61,PESADO,Main Warehouse,-1,-17.63,Completed
ASM-00029382,08/07/2025,23/06/2025,PF00MVRaya-HY,Pesado HYBRID Naked Portafilter 5mm E61 - Raya,PESADO,Main Warehouse,1,25.86,Completed
ASM-00029381,24/06/2025,23/06/2025,PSD-PinUP,Pesado WDT tool Pin upgrade,PESADO,Main Warehouse,-1,-3.10,Completed
ASM-00029381,24/06/2025,23/06/2025,PSDleva-bronze,Pesado Leva knob - Bronze,PESADO,Main Warehouse,-1,-9.92,Completed
ASM-00029381,24/06/2025,23/06/2025,PSDcrusher-Bronze,Pesado Clump Crusher - Bronze,PESADO,Main Warehouse,1,13.02,Completed
ASM-00029380,24/06/2025,23/06/2025,PSD-beantube,Single Dose Bean Cellar - 4pcs,PESADO,Main Warehouse,-1,-10.85,Completed
ASM-00029380,24/06/2025,23/06/2025,PSD-Beanstand,Magnetic Bean Stand,PESADO,Main Warehouse,-1,-15.50,Completed
ASM-00029380,24/06/2025,23/06/2025,PSD-Beanstand-combo,Magnetic Bean Stand With Single Dose Bean Cellar - 4pcs,PESADO,Main Warehouse,1,26.35,Completed
ASM-00029379,26/06/2025,23/06/2025,PSDHY,Pesado HYBRID Double Spouted Attachment - (LM 6mm - NS - BR 58),PESADO,Main Warehouse,-5,-47.25,Completed
ASM-00029379,26/06/2025,23/06/2025,PortafilterSpring,Filter Blocking Spring 1.20mm,Coffee Machine Parts & Accesories,Main Warehouse,-5,-2.38,Completed
ASM-00029379,26/06/2025,23/06/2025,PFH00MV-HY,Pesado HYBRID Naked Portafilter Head Only - 5mm E61,PESADO,Main Warehouse,-5,-88.15,Completed
ASM-00029379,26/06/2025,23/06/2025,PFH02MV-HY,Pesado HYBRID Double Spouted Portafilter Head Only 5mm E61,PESADO,Main Warehouse,5,137.78,Completed
ASM-00029378,26/06/2025,23/06/2025,PSD-PinUP,Pesado WDT tool Pin upgrade,PESADO,Main Warehouse,-1,-3.10,Completed
ASM-00029378,26/06/2025,23/06/2025,PSDleva-gold,Pesado Leva knob - Gold,PESADO,Main Warehouse,-1,-9.92,Completed
ASM-00029378,26/06/2025,23/06/2025,PSDcrusher-Gold,Pesado Clump Crusher - Gold,PESADO,Main Warehouse,1,13.02,Completed
ASM-00029377,26/06/2025,23/06/2025,PSD-PinUP,Pesado WDT tool Pin upgrade,PESADO,Main Warehouse,-1,-3.10,Completed
ASM-00029377,26/06/2025,23/06/2025,PSDleva-bronze,Pesado Leva knob - Bronze,PESADO,Main Warehouse,-1,-9.92,Completed
ASM-00029377,26/06/2025,23/06/2025,PSDcrusher-Bronze,Pesado Clump Crusher - Bronze,PESADO,Main Warehouse,1,13.02,Completed
ASM-00029376,26/06/2025,23/06/2025,PSD-PinUP,Pesado WDT tool Pin upgrade,PESADO,Main Warehouse,-2,-6.20,Completed
ASM-00029376,26/06/2025,23/06/2025,PSDleva-silver,Pesado Leva knob - Silver,PESADO,Main Warehouse,-2,-13.64,Completed
ASM-00029376,26/06/2025,23/06/2025,PSDcrusher-Silver,Pesado Clump Crusher - Silver,PESADO,Main Warehouse,2,19.84,Completed
ASM-00029375,24/06/2025,23/06/2025,WH-PSDHFullPOM,Pesado White Portafilter Handle Only - Full POM,PESADO,Main Warehouse,-1,-4.65,Completed
ASM-00029375,24/06/2025,23/06/2025,PSDHY,Pesado HYBRID Double Spouted Attachment - (LM 6mm - NS - BR 58),PESADO,Main Warehouse,-1,-9.45,Completed
ASM-00029375,24/06/2025,23/06/2025,PortafilterSpring,Filter Blocking Spring 1.20mm,Coffee Machine Parts & Accesories,Main Warehouse,-1,-0.48,Completed
ASM-00029375,24/06/2025,23/06/2025,PFH00MV-HY,Pesado HYBRID Naked Portafilter Head Only - 5mm E61,PESADO,Main Warehouse,-1,-17.63,Completed
ASM-00029375,24/06/2025,23/06/2025,PF02MV-WHPOM-HY,Pesado HYBRID Double Spouted Portafilter 5mm E61 - White Full POM,PESADO,Main Warehouse,1,32.21,Completed
ASM-00029374,30/06/2025,23/06/2025,PSDHY,Pesado HYBRID Double Spouted Attachment - (LM 6mm - NS - BR 58),PESADO,Main Warehouse,-1,-9.45,Completed
ASM-00029374,30/06/2025,23/06/2025,PortafilterSpring,Filter Blocking Spring 1.20mm,Coffee Machine Parts & Accesories,Main Warehouse,-1,-0.48,Completed
ASM-00029374,30/06/2025,23/06/2025,PFMOD2-Black,Pesado Portafilter Multi  Handle Module 2 - Black,PESADO,Main Warehouse,-1,-11.01,Completed
ASM-00029374,30/06/2025,23/06/2025,PFMOD1-Black,Pesado Portafilter Multi  Handle Module 1 - Black,PESADO,Main Warehouse,-1,-3.10,Completed
ASM-00029374,30/06/2025,23/06/2025,PFH00LM-HY,Pesado HYBRID Naked Portafilter Head Only LM 6mm,PESADO,Main Warehouse,-1,-17.64,Completed
ASM-00029374,30/06/2025,23/06/2025,PF02LM-BBK-HY,Pesado HYBRID Double Spouted Portafilter LM 6mm - Black/Black,PESADO,Main Warehouse,1,41.68,Completed
ASM-00029371,24/06/2025,22/06/2025,PSDHY-BR,Pesado HYBRID Double Spouted Attachment - (Breville 54),PESADO,Main Warehouse,-1,-9.46,Completed
ASM-00029371,24/06/2025,22/06/2025,PortafilterSpring,Filter Blocking Spring 1.20mm,Coffee Machine Parts & Accesories,Main Warehouse,-1,-0.48,Completed
ASM-00029371,24/06/2025,22/06/2025,PFMOD2-Dusk,Pesado Portafilter Multi Handle Module 2 - Dusk,PESADO,Main Warehouse,-1,-9.92,Completed
ASM-00029371,24/06/2025,22/06/2025,PFMOD1-Black,Pesado Portafilter Multi  Handle Module 1 - Black,PESADO,Main Warehouse,-1,-3.10,Completed
ASM-00029371,24/06/2025,22/06/2025,PFH00BR54-HY,Pesado HYBRID Naked Portafilter Head Only Breville 54mm,PESADO,Main Warehouse,-1,-17.64,Completed
ASM-00029371,24/06/2025,22/06/2025,PF02BR54-BDK-HY,Pesado HYBRID Double Spouted Portafilter Breville 54mm - Black/Dusk,PESADO,Main Warehouse,1,40.60,Completed
ASM-00029369,24/06/2025,22/06/2025,AB-MAT-WH,Artisan Barista Scale Silicone Mat - White,The Artisan Barista,Main Warehouse,-1,-2.23,Completed
ASM-00029369,24/06/2025,22/06/2025,AB3070S-BK,Artisan Barista - Barista Precision Scale - Black,The Artisan Barista,Main Warehouse,-1,-27.28,Completed
ASM-00029369,24/06/2025,22/06/2025,AB3070S-WH,Artisan Barista - Barista Precision Scale - White,The Artisan Barista,Main Warehouse,1,29.51,Completed
ASM-00029368,24/06/2025,22/06/2025,PSDHY-BR,Pesado HYBRID Double Spouted Attachment - (Breville 54),PESADO,Main Warehouse,-1,-9.46,Completed
ASM-00029368,24/06/2025,22/06/2025,PortafilterSpring,Filter Blocking Spring 1.20mm,Coffee Machine Parts & Accesories,Main Warehouse,-1,-0.48,Completed
ASM-00029368,24/06/2025,22/06/2025,PFMOD2-Dusk,Pesado Portafilter Multi Handle Module 2 - Dusk,PESADO,Main Warehouse,-1,-9.92,Completed
ASM-00029368,24/06/2025,22/06/2025,PFMOD1-Black,Pesado Portafilter Multi  Handle Module 1 - Black,PESADO,Main Warehouse,-1,-3.10,Completed
ASM-00029368,24/06/2025,22/06/2025,PFH00BR54-HY,Pesado HYBRID Naked Portafilter Head Only Breville 54mm,PESADO,Main Warehouse,-1,-17.64,Completed
ASM-00029368,24/06/2025,22/06/2025,PF02BR54-BDK-HY,Pesado HYBRID Double Spouted Portafilter Breville 54mm - Black/Dusk,PESADO,Main Warehouse,1,40.60,Completed
ASM-00029365,24/06/2025,21/06/2025,PSDHY,Pesado HYBRID Double Spouted Attachment - (LM 6mm - NS - BR 58),PESADO,Main Warehouse,-1,-9.45,Completed
ASM-00029365,24/06/2025,21/06/2025,PortafilterSpring,Filter Blocking Spring 1.20mm,Coffee Machine Parts & Accesories,Main Warehouse,-1,-0.48,Completed
ASM-00029365,24/06/2025,21/06/2025,PFMOD2-Iris,Pesado Portafilter Multi Handle Module 2 - Iris,PESADO,Main Warehouse,-1,-6.98,Completed
ASM-00029365,24/06/2025,21/06/2025,PFMOD1-White,Pesado Portafilter Multi  Handle Module 1 - White,PESADO,Main Warehouse,-1,-3.10,Completed
ASM-00029365,24/06/2025,21/06/2025,PFH00BR58-HY,Pesado HYBRID Naked Portafilter Head Only Breville 58mm,PESADO,Main Warehouse,-1,-17.64,Completed
ASM-00029365,24/06/2025,21/06/2025,PF02BR58WH-Iris-HY,Pesado HYBRID Double Spouted Portafilter Breville 58mm - White/Iris,PESADO,Main Warehouse,1,37.65,Completed
ASM-00029364,24/06/2025,21/06/2025,PSD-PinUP,Pesado WDT tool Pin upgrade,PESADO,Main Warehouse,-1,-3.10,Completed
ASM-00029364,24/06/2025,21/06/2025,PSDleva-black,Pesado Leva knob - Black,PESADO,Main Warehouse,-1,-9.92,Completed
ASM-00029364,24/06/2025,21/06/2025,PSDcrusher-Black,Pesado Clump Crusher - Black,PESADO,Main Warehouse,1,13.02,Completed
ASM-00029363,24/06/2025,21/06/2025,PortafilterSpring,Filter Blocking Spring 1.20mm,Coffee Machine Parts & Accesories,Main Warehouse,-1,-0.48,Completed
ASM-00029363,24/06/2025,21/06/2025,PFMOD2-Black,Pesado Portafilter Multi  Handle Module 2 - Black,PESADO,Main Warehouse,-1,-11.01,Completed
ASM-00029363,24/06/2025,21/06/2025,PFMOD1-Black,Pesado Portafilter Multi  Handle Module 1 - Black,PESADO,Main Warehouse,-1,-3.10,Completed
ASM-00029363,24/06/2025,21/06/2025,PFH00MV-HY,Pesado HYBRID Naked Portafilter Head Only - 5mm E61,PESADO,Main Warehouse,-1,-17.63,Completed
ASM-00029363,24/06/2025,21/06/2025,PF00MV-BBK-HY,Pesado HYBRID Naked Portafilter 5mm E61 - Black/Black,PESADO,Main Warehouse,1,32.22,Completed
ASM-00029362,24/06/2025,20/06/2025,PSD02Spout,Pesado Spout - Double,PESADO,Main Warehouse,-1,-5.43,Completed
ASM-00029362,24/06/2025,20/06/2025,PFMOD2-Silver,Pesado Portafilter Multi  Handle Module 2 - Silver,PESADO,Main Warehouse,-1,-6.82,Completed
ASM-00029362,24/06/2025,20/06/2025,PFMOD1-Black,Pesado Portafilter Multi  Handle Module 1 - Black,PESADO,Main Warehouse,-1,-3.10,Completed
ASM-00029362,24/06/2025,20/06/2025,PFHNS,Pesado Double Spouted Portafilter  Head Only NS,PESADO,Main Warehouse,-1,-16.57,Completed
ASM-00029362,24/06/2025,20/06/2025,PortafilterSpring,Filter Blocking Spring 1.20mm,Coffee Machine Parts & Accesories,Main Warehouse,-1,-0.48,Completed
ASM-00029362,24/06/2025,20/06/2025,PF02NS-BSL,Pesado Double Spouted Portafilter NS - Black/Silver,PESADO,Main Warehouse,1,32.40,Completed
ASM-00029361,24/06/2025,20/06/2025,PSD02Spout,Pesado Spout - Double,PESADO,Main Warehouse,-1,-5.43,Completed
ASM-00029361,24/06/2025,20/06/2025,PortafilterSpring,Filter Blocking Spring 1.20mm,Coffee Machine Parts & Accesories,Main Warehouse,-1,-0.48,Completed
ASM-00029361,24/06/2025,20/06/2025,PFMOD2-Iris,Pesado Portafilter Multi Handle Module 2 - Iris,PESADO,Main Warehouse,-1,-6.98,Completed
ASM-00029361,24/06/2025,20/06/2025,PFMOD1-White,Pesado Portafilter Multi  Handle Module 1 - White,PESADO,Main Warehouse,-1,-3.10,Completed
ASM-00029361,24/06/2025,20/06/2025,PFHBR54,Pesado Double Spouted Portafilter Head Only Breville 54mm,PESADO,Main Warehouse,-1,-16.57,Completed
ASM-00029361,24/06/2025,20/06/2025,PF02BR54WH-Iris,Pesado Double Spouted Portafilter Breville 54mm - White/Iris,PESADO,Main Warehouse,1,32.56,Completed
ASM-00029360,24/06/2025,20/06/2025,PSD-PinUP,Pesado WDT tool Pin upgrade,PESADO,Main Warehouse,-1,-3.10,Completed
ASM-00029360,24/06/2025,20/06/2025,PSDleva-black,Pesado Leva knob - Black,PESADO,Main Warehouse,-1,-9.92,Completed
ASM-00029360,24/06/2025,20/06/2025,PSDcrusher-Black,Pesado Clump Crusher - Black,PESADO,Main Warehouse,1,13.02,Completed
ASM-00029359,24/06/2025,20/06/2025,PSDTMOD2-Silver,Pesado Tamper Multi Handle Module 2 - Silver,PESADO,Main Warehouse,-1,-5.89,Completed
ASM-00029359,24/06/2025,20/06/2025,PSDTMOD1-Black,Pesado Tamper Multi Handle Module 1 - Black,PESADO,Main Warehouse,-1,-3.26,Completed
ASM-00029359,24/06/2025,20/06/2025,PSDTBR54base,Pesado Tamper Base Only 54mm,PESADO,Main Warehouse,-1,-8.83,Completed
ASM-00029359,24/06/2025,20/06/2025,PSDT-53.5-BSL,Pesado 53.5mm Tamper - Black/Silver,PESADO,Main Warehouse,1,17.98,Completed
ASM-00029358,23/06/2025,20/06/2025,PSDHFullPOM,Pesado Portafilter Handle Only - Full POM,PESADO,Main Warehouse,-8,-37.20,Completed
ASM-00029358,23/06/2025,20/06/2025,PSD02Spout,Pesado Spout - Double,PESADO,Main Warehouse,-8,-43.40,Completed
ASM-00029358,23/06/2025,20/06/2025,PortafilterSpring,Filter Blocking Spring 1.20mm,Coffee Machine Parts & Accesories,Main Warehouse,-8,-3.81,Completed
ASM-00029358,23/06/2025,20/06/2025,PFHLM,Pesado Double Spouted Portafilter  Head Only LM 6mm,PESADO,Main Warehouse,-8,-132.56,Completed
ASM-00029358,23/06/2025,20/06/2025,PF02LM-FullPOM,Pesado Double Spouted Portafilter LM 6mm - Full POM,PESADO,Main Warehouse,8,216.97,Completed
ASM-00029357,23/06/2025,20/06/2025,PSDHFullPOM,Pesado Portafilter Handle Only - Full POM,PESADO,Main Warehouse,-1,-4.65,Completed
ASM-00029357,23/06/2025,20/06/2025,PortafilterSpring,Filter Blocking Spring 1.20mm,Coffee Machine Parts & Accesories,Main Warehouse,-1,-0.48,Completed
ASM-00029357,23/06/2025,20/06/2025,PFH00MV-HY,Pesado HYBRID Naked Portafilter Head Only - 5mm E61,PESADO,Main Warehouse,-1,-17.63,Completed
ASM-00029357,23/06/2025,20/06/2025,PF00MV-FullPOM-HY,Pesado HYBRID Naked Portafilter 5mm E61 - Full POM,PESADO,Main Warehouse,1,22.76,Completed
ASM-00029356,23/06/2025,20/06/2025,PortafilterSpring,Filter Blocking Spring 1.20mm,Coffee Machine Parts & Accesories,Main Warehouse,-1,-0.48,Completed
ASM-00029356,23/06/2025,20/06/2025,PFMOD2-Black,Pesado Portafilter Multi  Handle Module 2 - Black,PESADO,Main Warehouse,-1,-11.01,Completed
ASM-00029356,23/06/2025,20/06/2025,PFMOD1-Black,Pesado Portafilter Multi  Handle Module 1 - Black,PESADO,Main Warehouse,-1,-3.10,Completed
ASM-00029356,23/06/2025,20/06/2025,PFH00MV-HY,Pesado HYBRID Naked Portafilter Head Only - 5mm E61,PESADO,Main Warehouse,-1,-17.63,Completed
ASM-00029356,23/06/2025,20/06/2025,PF00MV-BBK-HY,Pesado HYBRID Naked Portafilter 5mm E61 - Black/Black,PESADO,Main Warehouse,1,32.22,Completed
ASM-00029355,24/06/2025,20/06/2025,PortafilterSpring,Filter Blocking Spring 1.20mm,Coffee Machine Parts & Accesories,Main Warehouse,-2,-0.95,Completed
ASM-00029355,24/06/2025,20/06/2025,PFMOD2-Black,Pesado Portafilter Multi  Handle Module 2 - Black,PESADO,Main Warehouse,-2,-22.01,Completed
ASM-00029355,24/06/2025,20/06/2025,PFMOD1-Black,Pesado Portafilter Multi  Handle Module 1 - Black,PESADO,Main Warehouse,-2,-6.20,Completed
ASM-00029355,24/06/2025,20/06/2025,PFH00LM-HY,Pesado HYBRID Naked Portafilter Head Only LM 6mm,PESADO,Main Warehouse,-2,-35.28,Completed
ASM-00029355,24/06/2025,20/06/2025,PF00LM-BBK-HY,Pesado HYBRID Naked Portafilter LM 6mm - Black/Black,PESADO,Main Warehouse,2,64.44,Completed
ASM-00029354,30/06/2025,19/06/2025,PSDHFullPOM,Pesado Portafilter Handle Only - Full POM,PESADO,Main Warehouse,-1,-4.65,Completed
ASM-00029354,30/06/2025,19/06/2025,PSD02Spout,Pesado Spout - Double,PESADO,Main Warehouse,-1,-5.43,Completed
ASM-00029354,30/06/2025,19/06/2025,PortafilterSpring,Filter Blocking Spring 1.20mm,Coffee Machine Parts & Accesories,Main Warehouse,-1,-0.48,Completed
ASM-00029354,30/06/2025,19/06/2025,PFHLM,Pesado Double Spouted Portafilter  Head Only LM 6mm,PESADO,Main Warehouse,-1,-16.57,Completed
ASM-00029354,30/06/2025,19/06/2025,PF02LM-FullPOM,Pesado Double Spouted Portafilter LM 6mm - Full POM,PESADO,Main Warehouse,1,27.13,Completed
ASM-00029353,23/06/2025,24/06/2025,PSDHY,Pesado HYBRID Double Spouted Attachment - (LM 6mm - NS - BR 58),PESADO,Main Warehouse,-1,-9.45,Completed
ASM-00029353,23/06/2025,24/06/2025,PortafilterSpring,Filter Blocking Spring 1.20mm,Coffee Machine Parts & Accesories,Main Warehouse,-1,-0.48,Completed
ASM-00029353,23/06/2025,24/06/2025,PFMOD2-Dusk,Pesado Portafilter Multi Handle Module 2 - Dusk,PESADO,Main Warehouse,-1,-9.92,Completed
ASM-00029353,23/06/2025,24/06/2025,PFMOD1-Black,Pesado Portafilter Multi  Handle Module 1 - Black,PESADO,Main Warehouse,-1,-3.10,Completed
ASM-00029353,23/06/2025,24/06/2025,PFH00MV-HY,Pesado HYBRID Naked Portafilter Head Only - 5mm E61,PESADO,Main Warehouse,-1,-17.63,Completed
ASM-00029353,23/06/2025,24/06/2025,PF02MV-BDK-HY,Pesado HYBRID Double Spouted Portafilter 5mm E61 - Black/Dusk,PESADO,Main Warehouse,1,40.58,Completed
ASM-00029352,19/06/2025,19/06/2025,M12 screw,M12 X 80mm,PESADO,Main Warehouse,-1,-0.96,Completed
ASM-00029352,19/06/2025,19/06/2025,PFMOD2-Gold,Pesado Portafilter Multi  Handle Module 2 - Gold,PESADO,Main Warehouse,-1,-9.92,Completed
ASM-00029352,19/06/2025,19/06/2025,PFMOD1-White,Pesado Portafilter Multi  Handle Module 1 - White,PESADO,Main Warehouse,-1,-3.10,Completed
ASM-00029352,19/06/2025,19/06/2025,PSDHMODWGD,Pesado Portafilter Handle Only - White/Gold,Modular Handle Only,Main Warehouse,1,13.98,Completed
ASM-00029350,24/06/2025,19/06/2025,PSDHY,Pesado HYBRID Double Spouted Attachment - (LM 6mm - NS - BR 58),PESADO,Main Warehouse,-1,-9.45,Completed
ASM-00029350,24/06/2025,19/06/2025,PortafilterSpring,Filter Blocking Spring 1.20mm,Coffee Machine Parts & Accesories,Main Warehouse,-1,-0.48,Completed
ASM-00029350,24/06/2025,19/06/2025,PFH00MV-HY,Pesado HYBRID Naked Portafilter Head Only - 5mm E61,PESADO,Main Warehouse,-1,-17.63,Completed
ASM-00029350,24/06/2025,19/06/2025,PFH02MV-HY,Pesado HYBRID Double Spouted Portafilter Head Only 5mm E61,PESADO,Main Warehouse,1,27.56,Completed
ASM-00029349,19/06/2025,19/06/2025,PSDHY,Pesado HYBRID Double Spouted Attachment - (LM 6mm - NS - BR 58),PESADO,Main Warehouse,-1,-9.45,Completed
ASM-00029349,19/06/2025,19/06/2025,PortafilterSpring,Filter Blocking Spring 1.20mm,Coffee Machine Parts & Accesories,Main Warehouse,-1,-0.48,Completed
ASM-00029349,19/06/2025,19/06/2025,PFMOD2-Black,Pesado Portafilter Multi  Handle Module 2 - Black,PESADO,Main Warehouse,-1,-11.01,Completed
ASM-00029349,19/06/2025,19/06/2025,PFMOD1-Black,Pesado Portafilter Multi  Handle Module 1 - Black,PESADO,Main Warehouse,-1,-3.10,Completed
ASM-00029349,19/06/2025,19/06/2025,PFH00BR58-HY,Pesado HYBRID Naked Portafilter Head Only Breville 58mm,PESADO,Main Warehouse,-1,-17.64,Completed
ASM-00029349,19/06/2025,19/06/2025,PF02BR58-BBK-HY,Pesado HYBRID Double Spouted Portafilter Breville 58mm - Black/Black,PESADO,Main Warehouse,1,41.68,Completed
ASM-00029348,19/06/2025,19/06/2025,PSDHY-BR,Pesado HYBRID Double Spouted Attachment - (Breville 54),PESADO,Main Warehouse,-1,-9.46,Completed
ASM-00029348,19/06/2025,19/06/2025,PortafilterSpring,Filter Blocking Spring 1.20mm,Coffee Machine Parts & Accesories,Main Warehouse,-1,-0.48,Completed
ASM-00029348,19/06/2025,19/06/2025,PFMOD2-Silver,Pesado Portafilter Multi  Handle Module 2 - Silver,PESADO,Main Warehouse,-1,-6.82,Completed
ASM-00029348,19/06/2025,19/06/2025,PFMOD1-White,Pesado Portafilter Multi  Handle Module 1 - White,PESADO,Main Warehouse,-1,-3.10,Completed
ASM-00029348,19/06/2025,19/06/2025,PFH00BR54-HY,Pesado HYBRID Naked Portafilter Head Only Breville 54mm,PESADO,Main Warehouse,-1,-17.64,Completed
ASM-00029348,19/06/2025,19/06/2025,PF02BR54-WSL-HY,Pesado HYBRID Double Spouted Portafilter Breville 54mm - White/Silver,PESADO,Main Warehouse,1,37.50,Completed
ASM-00029347,24/06/2025,19/06/2025,PSD-PinUP,Pesado WDT tool Pin upgrade,PESADO,Main Warehouse,-1,-3.10,Completed
ASM-00029347,24/06/2025,19/06/2025,PSDleva-silver,Pesado Leva knob - Silver,PESADO,Main Warehouse,-1,-6.82,Completed
ASM-00029347,24/06/2025,19/06/2025,PSDcrusher-Silver,Pesado Clump Crusher - Silver,PESADO,Main Warehouse,1,9.92,Completed
ASM-00029346,24/06/2025,19/06/2025,PSD-PinUP,Pesado WDT tool Pin upgrade,PESADO,Main Warehouse,-1,-3.10,Completed
ASM-00029346,24/06/2025,19/06/2025,PSDleva-Riga,Pesado Leva knob - Riga,PESADO,Main Warehouse,-1,-6.98,Completed
ASM-00029346,24/06/2025,19/06/2025,PSDcrusherRIGA,Pesado Clump Crusher - Riga,PESADO,Main Warehouse,1,10.08,Completed
ASM-00029345,24/06/2025,19/06/2025,PSDHY,Pesado HYBRID Double Spouted Attachment - (LM 6mm - NS - BR 58),PESADO,Main Warehouse,-1,-9.45,Completed
ASM-00029345,24/06/2025,19/06/2025,PortafilterSpring,Filter Blocking Spring 1.20mm,Coffee Machine Parts & Accesories,Main Warehouse,-1,-0.48,Completed
ASM-00029345,24/06/2025,19/06/2025,PFMOD2-Riga,Pesado Portafilter Multi Handle Module 2 - Riga,PESADO,Main Warehouse,-1,-6.98,Completed
ASM-00029345,24/06/2025,19/06/2025,PFMOD1-Black,Pesado Portafilter Multi  Handle Module 1 - Black,PESADO,Main Warehouse,-1,-3.10,Completed
ASM-00029345,24/06/2025,19/06/2025,PFH00BR58-HY,Pesado HYBRID Naked Portafilter Head Only Breville 58mm,PESADO,Main Warehouse,-1,-17.64,Completed
ASM-00029345,24/06/2025,19/06/2025,PF02BR58BK-Riga-HY,Pesado HYBRID Double Spouted Portafilter Breville 58mm - Black/Riga,PESADO,Main Warehouse,1,37.65,Completed
