Production Enquiry as of 31/10/2025,,,,,,,,,
Assembly Number,Assembly Date,Assemble By,Product Code,Product Description,Product Group,Warehouse,Quantity,Total Cost,Assembly Status
ASM-00031837,,31/10/2025,PSD-HD-54,High Diffusion shower screen for (Breville 54mm),PESADO,Main Warehouse,-1,-2.97,Parked
ASM-00031837,,31/10/2025,PSD-HD-EX54,High Diffusion shower screen for (Breville 54mm Barista Express),PESADO,Main Warehouse,1,2.97,Parked
ASM-00031836,,30/10/2025,PSD-HD-Plate54,Breville 54mm barista express diffusion plate,PESADO,Main Warehouse,-1,0.00,Parked
ASM-00031836,,30/10/2025,PSD-HD-54,High Diffusion shower screen for (Breville 54mm),PESADO,Main Warehouse,-1,-2.97,Parked
ASM-00031836,,30/10/2025,PSD-HD-EX54,High Diffusion shower screen for (Breville 54mm Barista Express),PESADO,Main Warehouse,1,2.97,Parked
ASM-00031835,,30/10/2025,PSD-HD-Plate54,Breville 54mm barista express diffusion plate,PESADO,Main Warehouse,-1,0.00,Parked
ASM-00031835,,30/10/2025,PSD-HD-54,High Diffusion shower screen for (Breville 54mm),PESADO,Main Warehouse,-1,-2.97,Parked
ASM-00031835,,30/10/2025,PSD-HD-EX54,High Diffusion shower screen for (Breville 54mm Barista Express),PESADO,Main Warehouse,1,2.97,Parked
ASM-00031834,,30/10/2025,PSD-HD-Plate54,Breville 54mm barista express diffusion plate,PESADO,Main Warehouse,-1,0.00,Parked
ASM-00031834,,30/10/2025,PSD-HD-54,High Diffusion shower screen for (Breville 54mm),PESADO,Main Warehouse,-1,-2.97,Parked
ASM-00031834,,30/10/2025,PSD-HD-EX54,High Diffusion shower screen for (Breville 54mm Barista Express),PESADO,Main Warehouse,1,2.97,Parked
ASM-00031833,,30/10/2025,PSD-HD-Plate54,Breville 54mm barista express diffusion plate,PESADO,Main Warehouse,-1,0.00,Parked
ASM-00031833,,30/10/2025,PSD-HD-54,High Diffusion shower screen for (Breville 54mm),PESADO,Main Warehouse,-1,-2.97,Parked
ASM-00031833,,30/10/2025,PSD-HD-EX54,High Diffusion shower screen for (Breville 54mm Barista Express),PESADO,Main Warehouse,1,2.97,Parked
ASM-00031832,,30/10/2025,PSD-HD-Plate54,Breville 54mm barista express diffusion plate,PESADO,Main Warehouse,-1,0.00,Parked
ASM-00031832,,30/10/2025,PSD-HD-54,High Diffusion shower screen for (Breville 54mm),PESADO,Main Warehouse,-1,-2.97,Parked
ASM-00031832,,30/10/2025,PSD-HD-EX54,High Diffusion shower screen for (Breville 54mm Barista Express),PESADO,Main Warehouse,1,2.97,Parked
ASM-00031831,,30/10/2025,PSD-HD-Plate54,Breville 54mm barista express diffusion plate,PESADO,Main Warehouse,-1,0.00,Parked
ASM-00031831,,30/10/2025,PSD-HD-54,High Diffusion shower screen for (Breville 54mm),PESADO,Main Warehouse,-1,-2.97,Parked
ASM-00031831,,30/10/2025,PSD-HD-EX54,High Diffusion shower screen for (Breville 54mm Barista Express),PESADO,Main Warehouse,1,2.97,Parked
ASM-00031830,,30/10/2025,PSDHY,Pesado HYBRID Double Spouted Attachment - (LM 6mm - NS - BR 58),PESADO,Main Warehouse,-1,-9.63,Parked
ASM-00031830,,30/10/2025,PortafilterSpring,Filter Blocking Spring 1.20mm,Coffee Machine Parts & Accesories,Main Warehouse,-1,-0.39,Parked
ASM-00031830,,30/10/2025,PFMOD2-Gold,Pesado Portafilter Multi  Handle Module 2 - Gold,PESADO,Main Warehouse,-1,-9.92,Parked
